file,line,kind,text,suggested_key
backend/routers/security.py,103,message,امسح رمز QR باستخدام تطبيق المصادقة، ثم أدخل الرمز للتأكيد,msg_امسح_رمز_qr_باستخدام_تطبيق_المصادقة،_ثم_أدخل_الرمز_للتأكيد
backend/routers/security.py,157,message,تم تفعيل المصادقة الثنائية بنجاح,msg_تم_تفعيل_المصادقة_الثنائية_بنجاح
backend/routers/security.py,198,message,تم تعطيل المصادقة الثنائية,msg_تم_تعطيل_المصادقة_الثنائية
backend/routers/security.py,341,message,تم تغيير كلمة المرور بنجاح,msg_تم_تغيير_كلمة_المرور_بنجاح
backend/routers/security.py,381,message,تم تحديث سياسة كلمات المرور,msg_تم_تحديث_سياسة_كلمات_المرور
backend/routers/security.py,437,message,تم إنهاء الجلسة,msg_تم_إنهاء_الجلسة
backend/routers/security.py,460,message,تم إنهاء جميع الجلسات,msg_تم_إنهاء_جميع_الجلسات
backend/routers/security.py,488,message,سياسة انتهاء كلمات المرور معطّلة,msg_سياسة_انتهاء_كلمات_المرور_معطّلة
backend/routers/matching.py,142,detail,Match not found,msg_match_not_found
backend/routers/matching.py,210,detail,Only held matches can be approved,msg_only_held_matches_can_be_approved
backend/routers/matching.py,241,detail,Only held matches can be rejected,msg_only_held_matches_can_be_rejected
backend/routers/matching.py,297,detail,Tolerance not found,msg_tolerance_not_found
backend/routers/contracts.py,36,detail,تاريخ نهاية العقد يجب أن يكون بعد تاريخ البداية,msg_تاريخ_نهاية_العقد_يجب_أن_يكون_بعد_تاريخ_البداية
backend/routers/contracts.py,45,detail,رقم العقد مكرر، يرجى استخدام رقم مختلف,msg_رقم_العقد_مكرر،_يرجى_استخدام_رقم_مختلف
backend/routers/contracts.py,200,detail,Contract not found,msg_contract_not_found
backend/routers/contracts.py,294,detail,يمكن تجديد العقود النشطة فقط,msg_يمكن_تجديد_العقود_النشطة_فقط
backend/routers/contracts.py,365,detail,العقد غير موجود أو غير نشط,msg_العقد_غير_موجود_أو_غير_نشط
backend/routers/contracts.py,373,detail,لا توجد بنود في العقد,msg_لا_توجد_بنود_في_العقد
backend/routers/contracts.py,458,detail,العقد ملغي بالفعل,msg_العقد_ملغي_بالفعل
backend/routers/contracts.py,475,message,تم إلغاء العقد بنجاح,msg_تم_إلغاء_العقد_بنجاح
backend/routers/contracts.py,613,message,تم إنشاء التعديل بنجاح,msg_تم_إنشاء_التعديل_بنجاح
backend/routers/roles.py,493,detail,Company ID missing,msg_company_id_missing
backend/routers/roles.py,640,detail,اسم الدور موجود بالفعل,msg_اسم_الدور_موجود_بالفعل
backend/routers/roles.py,662,message,تم إنشاء الدور بنجاح,msg_تم_إنشاء_الدور_بنجاح
backend/routers/roles.py,726,message,تم تحديث الدور بنجاح,msg_تم_تحديث_الدور_بنجاح
backend/routers/roles.py,757,detail,لا يمكن حذف الأدوار الافتراضية للنظام,msg_لا_يمكن_حذف_الأدوار_الافتراضية_للنظام
backend/routers/roles.py,775,message,تم حذف الدور بنجاح,msg_تم_حذف_الدور_بنجاح
backend/routers/projects.py,315,message,تم إنشاء المشروع بنجاح,msg_تم_إنشاء_المشروع_بنجاح
backend/routers/projects.py,358,detail,نسبة الإنجاز يجب أن تكون بين 0 و 100,msg_نسبة_الإنجاز_يجب_أن_تكون_بين_0_و_100
backend/routers/projects.py,376,message,تم تحديث المشروع بنجاح,msg_تم_تحديث_المشروع_بنجاح
backend/routers/projects.py,407,detail,لا يمكن حذف المشروع لوجود مصاريف أو إيرادات مرحّلة. يمكنك إلغاؤه بدلاً من حذفه.,msg_لا_يمكن_حذف_المشروع_لوجود_مصاريف_أو_إيرادات_مرحّلة_يمكنك_إلغاؤه_بدلاً_من_حذفه
backend/routers/projects.py,423,message,تم حذف المشروع,msg_تم_حذف_المشروع
backend/routers/projects.py,495,message,تم إضافة المهمة,msg_تم_إضافة_المهمة
backend/routers/projects.py,516,detail,المهمة غير موجودة,msg_المهمة_غير_موجودة
backend/routers/projects.py,557,message,تم تحديث المهمة,msg_تم_تحديث_المهمة
backend/routers/projects.py,587,message,تم حذف المهمة,msg_تم_حذف_المهمة
backend/routers/projects.py,637,detail,لم يتم العثور على حساب المصاريف,msg_لم_يتم_العثور_على_حساب_المصاريف
backend/routers/projects.py,648,detail,لم يتم العثور على حساب النقدية,msg_لم_يتم_العثور_على_حساب_النقدية
backend/routers/projects.py,721,message,تم تسجيل المصروف وإنشاء القيد المحاسبي,msg_تم_تسجيل_المصروف_وإنشاء_القيد_المحاسبي
backend/routers/projects.py,784,detail,لم يتم العثور على حساب الإيرادات,msg_لم_يتم_العثور_على_حساب_الإيرادات
backend/routers/projects.py,793,detail,لم يتم العثور على الحساب المدين,msg_لم_يتم_العثور_على_الحساب_المدين
backend/routers/projects.py,856,message,تم تسجيل الإيراد وإنشاء القيد المحاسبي,msg_تم_تسجيل_الإيراد_وإنشاء_القيد_المحاسبي
backend/routers/projects.py,1131,message,تم تسجيل الوقت بنجاح,msg_تم_تسجيل_الوقت_بنجاح
backend/routers/projects.py,1158,detail,غير مصرح لك بتعديل هذا السجل,msg_غير_مصرح_لك_بتعديل_هذا_السجل
backend/routers/projects.py,1196,message,تم تحديث السجل,msg_تم_تحديث_السجل
backend/routers/projects.py,1215,detail,غير مصرح لك بحذف هذا السجل,msg_غير_مصرح_لك_بحذف_هذا_السجل
backend/routers/projects.py,1224,message,تم حذف السجل,msg_تم_حذف_السجل
backend/routers/projects.py,1249,detail,حسابات تكلفة العمالة غير معرفة في إعدادات الشركة,msg_حسابات_تكلفة_العمالة_غير_معرفة_في_إعدادات_الشركة
backend/routers/projects.py,1398,message,تم رفع المستند بنجاح,msg_تم_رفع_المستند_بنجاح
backend/routers/projects.py,1440,message,تم حذف المستند,msg_تم_حذف_المستند
backend/routers/projects.py,1629,message,تم إنشاء الفاتورة والقيد المحاسبي بنجاح,msg_تم_إنشاء_الفاتورة_والقيد_المحاسبي_بنجاح
backend/routers/projects.py,1728,detail,لا يمكن تعديل أمر تغيير تمت الموافقة عليه,msg_لا_يمكن_تعديل_أمر_تغيير_تمت_الموافقة_عليه
backend/routers/projects.py,1744,message,تم تحديث أمر التغيير,msg_تم_تحديث_أمر_التغيير
backend/routers/projects.py,1800,message,تمت الموافقة على أمر التغيير وتحديث ميزانية المشروع,msg_تمت_الموافقة_على_أمر_التغيير_وتحديث_ميزانية_المشروع
backend/routers/projects.py,1834,detail,المشروع مغلق بالفعل,msg_المشروع_مغلق_بالفعل
backend/routers/projects.py,1927,message,تم إغلاق المشروع بنجاح,msg_تم_إغلاق_المشروع_بنجاح
backend/routers/projects.py,1981,message,تم إعداد الفوترة الدورية بنجاح,msg_تم_إعداد_الفوترة_الدورية_بنجاح
backend/routers/projects.py,2022,message,لا توجد عقود مستحقة للفوترة,msg_لا_توجد_عقود_مستحقة_للفوترة
backend/routers/projects.py,2679,message,تم إضافة الخطر بنجاح,msg_تم_إضافة_الخطر_بنجاح
backend/routers/projects.py,2715,message,تم تحديث الخطر بنجاح,msg_تم_تحديث_الخطر_بنجاح
backend/routers/projects.py,2738,message,تم حذف الخطر,msg_تم_حذف_الخطر
backend/routers/projects.py,2790,message,تم إنشاء التبعية بنجاح,msg_تم_إنشاء_التبعية_بنجاح
backend/routers/projects.py,2813,message,تم حذف التبعية,msg_تم_حذف_التبعية
backend/routers/projects.py,3403,message,Allocation removed,msg_allocation_removed
backend/routers/system_completion.py,1426,message,تم إنشاء الفترة المحاسبية,msg_تم_إنشاء_الفترة_المحاسبية
backend/routers/system_completion.py,1476,message,تم فتح الفترة المحاسبية,msg_تم_فتح_الفترة_المحاسبية
backend/routers/system_completion.py,1618,message,تم إنشاء النسخة الاحتياطية بنجاح,msg_تم_إنشاء_النسخة_الاحتياطية_بنجاح
backend/routers/system_completion.py,1755,message,تم إنشاء قالب الطباعة,msg_تم_إنشاء_قالب_الطباعة
backend/routers/system_completion.py,1807,message,تم تحديث القالب,msg_تم_تحديث_القالب
backend/routers/mobile.py,99,detail,company_id not available,msg_company_id_not_available
backend/routers/settings.py,419,message,Settings updated successfully,msg_settings_updated_successfully
backend/routers/settings.py,448,detail,Missing SMTP configuration,msg_missing_smtp_configuration
backend/routers/settings.py,457,message,Connection successful,msg_connection_successful
backend/routers/settings.py,459,detail,فشل الاتصال بالخادم,msg_فشل_الاتصال_بالخادم
backend/routers/settings.py,474,detail,Missing OTP or Organization Name,msg_missing_otp_or_organization_name
backend/routers/settings.py,479,detail,Invalid OTP,msg_invalid_otp
backend/routers/settings.py,483,message,CSID generated successfully,msg_csid_generated_successfully
backend/routers/companies.py,57,detail,البريد مستخدم,msg_البريد_مستخدم
backend/routers/companies.py,72,detail,فشل توليد معرف فريد,msg_فشل_توليد_معرف_فريد
backend/routers/companies.py,83,detail,فشل إنشاء قاعدة البيانات,msg_فشل_إنشاء_قاعدة_البيانات
backend/routers/companies.py,97,detail,فشل إنشاء الجداول,msg_فشل_إنشاء_الجداول
backend/routers/companies.py,225,detail,فشل إنشاء الشركة,msg_فشل_إنشاء_الشركة
backend/routers/companies.py,399,message,تم تحديث الوحدات بنجاح,msg_تم_تحديث_الوحدات_بنجاح
backend/routers/companies.py,413,detail,Access Denied,msg_access_denied
backend/routers/companies.py,429,detail,الشركة غير موجودة,msg_الشركة_غير_موجودة
backend/routers/companies.py,473,detail,Forbidden: Admin access required,msg_forbidden_admin_access_required
backend/routers/companies.py,484,detail,Company not found,msg_company_not_found
backend/routers/companies.py,489,message,No changes provided,msg_no_changes_provided
backend/routers/companies.py,516,message,Company updated successfully,msg_company_updated_successfully
backend/routers/companies.py,535,detail,Forbidden,forbidden
backend/routers/audit.py,105,detail,Company ID missing and not a system view,msg_company_id_missing_and_not_a_system_view
backend/routers/audit.py,130,detail,ليس لديك صلاحية لعرض سجلات هذا الفرع,msg_ليس_لديك_صلاحية_لعرض_سجلات_هذا_الفرع
backend/routers/reports.py,1817,detail,يجب تحديد الحساب,msg_يجب_تحديد_الحساب
backend/routers/reports.py,1947,detail,يجب تحديد فترتين على الأقل للمقارنة,msg_يجب_تحديد_فترتين_على_الأقل_للمقارنة
backend/routers/reports.py,2032,detail,يجب تحديد تاريخين على الأقل,msg_يجب_تحديد_تاريخين_على_الأقل
backend/routers/reports.py,2124,detail,Invalid date format. Use YYYY-MM-DD,msg_invalid_date_format_use_yyyy_mm_dd
backend/routers/reports.py,2225,detail,يجب تحديد فترتين على الأقل,msg_يجب_تحديد_فترتين_على_الأقل
backend/routers/reports.py,2476,detail,يجب فترتين على الأقل,msg_يجب_فترتين_على_الأقل
backend/routers/reports.py,3060,message,تم حفظ التقرير بنجاح,msg_تم_حفظ_التقرير_بنجاح
backend/routers/reports.py,3091,detail,التقرير غير موجود,msg_التقرير_غير_موجود
backend/routers/reports.py,3112,message,تم حذف التقرير,msg_تم_حذف_التقرير
backend/routers/role_dashboards.py,342,detail,Error loading industry dashboard,msg_error_loading_industry_dashboard
backend/routers/role_dashboards.py,408,detail,Error loading combined dashboard,msg_error_loading_combined_dashboard
backend/routers/role_dashboards.py,521,detail,Error loading dashboard data,msg_error_loading_dashboard_data
backend/routers/purchases.py,114,message,تم إنشاء المجموعة بنجاح,msg_تم_إنشاء_المجموعة_بنجاح
backend/routers/purchases.py,172,message,تم تحديث المجموعة بنجاح,msg_تم_تحديث_المجموعة_بنجاح
backend/routers/purchases.py,195,detail,لا يمكن حذف المجموعة لأنها مرتبطة بموردين,msg_لا_يمكن_حذف_المجموعة_لأنها_مرتبطة_بموردين
backend/routers/purchases.py,215,message,تم حذف المجموعة بنجاح,msg_تم_حذف_المجموعة_بنجاح
backend/routers/purchases.py,627,message,تم إنشاء أمر الشراء بنجاح,msg_تم_إنشاء_أمر_الشراء_بنجاح
backend/routers/purchases.py,658,detail,يمكن اعتماد أوامر الشراء في حالة 'مسودة' فقط,msg_يمكن_اعتماد_أوامر_الشراء_في_حالة_مسودة_فقط
backend/routers/purchases.py,705,message,تم اعتماد أمر الشراء بنجاح,msg_تم_اعتماد_أمر_الشراء_بنجاح
backend/routers/purchases.py,739,detail,يجب اعتماد أمر الشراء أولاً قبل الاستلام,msg_يجب_اعتماد_أمر_الشراء_أولاً_قبل_الاستلام
backend/routers/purchases.py,908,message,تم استلام البضاعة بنجاح,msg_تم_استلام_البضاعة_بنجاح
backend/routers/purchases.py,1152,detail,Exchange rate must be greater than zero,msg_exchange_rate_must_be_greater_than_zero
backend/routers/purchases.py,1172,detail,المستودع المختار لا يتبع للفرع الحالي,msg_المستودع_المختار_لا_يتبع_للفرع_الحالي
backend/routers/purchases.py,1626,message,تم إنشاء فاتورة المشتريات بنجاح,msg_تم_إنشاء_فاتورة_المشتريات_بنجاح
backend/routers/purchases.py,1702,detail,مردود المشتريات غير موجود,msg_مردود_المشتريات_غير_موجود
backend/routers/purchases.py,1779,detail,يجب تعريف مستودع واحد على الأقل,msg_يجب_تعريف_مستودع_واحد_على_الأقل
backend/routers/purchases.py,2013,message,تم إنشاء مردود المشتريات بنجاح,msg_تم_إنشاء_مردود_المشتريات_بنجاح
backend/routers/purchases.py,2021,detail,حدث خطأ أثناء إنشاء مردود المشتريات,msg_حدث_خطأ_أثناء_إنشاء_مردود_المشتريات
backend/routers/purchases.py,2086,detail,قيمة التخصيص يجب أن تكون أكبر من صفر,msg_قيمة_التخصيص_يجب_أن_تكون_أكبر_من_صفر
backend/routers/purchases.py,2295,message,تم حفظ السند بنجاح,msg_تم_حفظ_السند_بنجاح
backend/routers/purchases.py,2300,detail,حدث خطأ أثناء إنشاء سند الصرف,msg_حدث_خطأ_أثناء_إنشاء_سند_الصرف
backend/routers/purchases.py,2348,detail,Payment not found,msg_payment_not_found
backend/routers/purchases.py,2553,detail,يجب تحديد المورد,msg_يجب_تحديد_المورد
backend/routers/purchases.py,2560,detail,الفاتورة المرتبطة غير موجودة أو لا تخص هذا المورد,msg_الفاتورة_المرتبطة_غير_موجودة_أو_لا_تخص_هذا_المورد
backend/routers/purchases.py,2629,detail,إعدادات الحسابات غير مكتملة (AP / Inventory),msg_إعدادات_الحسابات_غير_مكتملة_ap_inventory
backend/routers/purchases.py,2980,detail,RFQ not found,msg_rfq_not_found
backend/routers/purchases.py,3038,message,RFQ sent to suppliers,msg_rfq_sent_to_suppliers
backend/routers/purchases.py,3089,detail,Response not found,msg_response_not_found
backend/routers/purchases.py,3099,message,RFQ converted. Create PO from supplier.,msg_rfq_converted_create_po_from_supplier
backend/routers/purchases.py,3199,detail,Agreement not found,msg_agreement_not_found
backend/routers/purchases.py,3255,message,Agreement activated,msg_agreement_activated
backend/routers/purchases.py,3265,detail,Active agreement not found,msg_active_agreement_not_found
backend/routers/purchases.py,3270,detail,Call-off exceeds agreement total,msg_call_off_exceeds_agreement_total
backend/routers/purchases.py,3339,message,Blanket PO created successfully,msg_blanket_po_created_successfully
backend/routers/purchases.py,3345,detail,Failed to create blanket PO,msg_failed_to_create_blanket_po
backend/routers/purchases.py,3415,detail,Blanket PO not found,msg_blanket_po_not_found
backend/routers/purchases.py,3446,detail,Only draft blanket POs can be activated,msg_only_draft_blanket_pos_can_be_activated
backend/routers/purchases.py,3458,message,Blanket PO activated successfully,msg_blanket_po_activated_successfully
backend/routers/purchases.py,3482,detail,Blanket PO must be active to release orders,msg_blanket_po_must_be_active_to_release_orders
backend/routers/purchases.py,3545,message,Release order created successfully,msg_release_order_created_successfully
backend/routers/purchases.py,3553,detail,Failed to create release order,msg_failed_to_create_release_order
backend/routers/purchases.py,3573,detail,Cannot amend price on a completed/cancelled/expired blanket PO,msg_cannot_amend_price_on_a_completed_cancelled_expired_blanket_po
backend/routers/purchases.py,3612,message,Price amended successfully,msg_price_amended_successfully
backend/routers/purchases.py,3623,detail,Failed to amend price,msg_failed_to_amend_price
backend/routers/landed_costs.py,492,message,تم ترحيل التكاليف المُضافة وتحديث تكلفة المنتجات,msg_تم_ترحيل_التكاليف_المُضافة_وتحديث_تكلفة_المنتجات
backend/routers/sso.py,55,detail,Company not found or inactive,msg_company_not_found_or_inactive
backend/routers/sso.py,57,detail,company_id or company_code is required,msg_company_id_or_company_code_is_required
backend/routers/sso.py,75,detail,قاعدة بيانات الشركة غير جاهزة لإعدادات SSO. راجع تهيئة قاعدة البيانات أو تواصل مع الدعم.,msg_قاعدة_بيانات_الشركة_غير_جاهزة_لإعدادات_sso_راجع_تهيئة_قاعدة_البيانات_أو_تواصل_مع
backend/routers/sso.py,81,detail,تعذر تحميل إعدادات SSO حالياً,msg_تعذر_تحميل_إعدادات_sso_حالياً
backend/routers/sso.py,113,detail,SSO configuration not found,msg_sso_configuration_not_found
backend/routers/sso.py,221,detail,No active SAML configuration found,msg_no_active_saml_configuration_found
backend/routers/sso.py,243,detail,Missing SAMLResponse,msg_missing_samlresponse
backend/routers/sso.py,247,detail,Missing RelayState,msg_missing_relaystate
backend/routers/sso.py,250,detail,Invalid or expired RelayState token,msg_invalid_or_expired_relaystate_token
backend/routers/sso.py,258,detail,Invalid SSO configuration,msg_invalid_sso_configuration
backend/routers/sso.py,321,detail,Cannot determine company for this SSO configuration,msg_cannot_determine_company_for_this_sso_configuration
backend/routers/sso.py,325,detail,SSO configuration not found or inactive,msg_sso_configuration_not_found_or_inactive
backend/routers/sso.py,342,detail,Username and password required for LDAP login,msg_username_and_password_required_for_ldap_login
backend/routers/sso.py,349,detail,LDAP server unreachable. Use local login if you are a fallback admin.,msg_ldap_server_unreachable_use_local_login_if_you_are_a_fallback_admin
backend/routers/approvals.py,129,message,تم إنشاء سلسلة الاعتماد بنجاح,msg_تم_إنشاء_سلسلة_الاعتماد_بنجاح
backend/routers/approvals.py,175,message,تم تحديث سلسلة الاعتماد بنجاح,msg_تم_تحديث_سلسلة_الاعتماد_بنجاح
backend/routers/approvals.py,202,message,تم حذف سلسلة الاعتماد,msg_تم_حذف_سلسلة_الاعتماد
backend/routers/approvals.py,304,message,تم إنشاء طلب الاعتماد بنجاح,msg_تم_إنشاء_طلب_الاعتماد_بنجاح
backend/routers/dashboard.py,377,detail,Access denied. System Admin only.,msg_access_denied_system_admin_only
backend/routers/dashboard.py,539,message,تم حفظ التخطيط بنجاح,msg_تم_حفظ_التخطيط_بنجاح
backend/routers/dashboard.py,561,message,تم تحديث التخطيط بنجاح,msg_تم_تحديث_التخطيط_بنجاح
backend/routers/dashboard.py,580,message,تم حذف التخطيط,msg_تم_حذف_التخطيط
backend/routers/dashboard.py,1245,detail,Widget not found,msg_widget_not_found
backend/routers/dashboard.py,1274,detail,Dashboard not found,msg_dashboard_not_found
backend/routers/dashboard.py,1281,detail,Access denied for this dashboard,msg_access_denied_for_this_dashboard
backend/routers/dashboard.py,1350,message,Dashboard created successfully,msg_dashboard_created_successfully
backend/routers/dashboard.py,1356,detail,Failed to create dashboard,msg_failed_to_create_dashboard
backend/routers/dashboard.py,1425,message,Dashboard updated successfully,msg_dashboard_updated_successfully
backend/routers/dashboard.py,1431,detail,Failed to update dashboard,msg_failed_to_update_dashboard
backend/routers/dashboard.py,1450,detail,System dashboards cannot be deleted,msg_system_dashboards_cannot_be_deleted
backend/routers/dashboard.py,1455,message,Dashboard deleted successfully,msg_dashboard_deleted_successfully
backend/routers/dashboard.py,1461,detail,Failed to delete dashboard,msg_failed_to_delete_dashboard
